id,text,name,name_number
26,刁纺，字经臣，丹徒人，湛子。以父荫入官，由户掾历佐幕府。范仲淹、欧阳修皆有赠送之什。,"刁纺,范仲淹,欧阳修",3
27,万俟卨，(1083～1157)，字元忠，一作元中，开封阳武人。登政和二年上舍第。绍兴初，提点湖北刑狱。岳飞宣抚荆湖，过卨，不以礼，卨憾之。入观，希秦桧意，谮飞，构陷成狱，飞父子与张宪俱死，天下冤之。官至尚书右仆射。绍兴二十七年卒，年七十五。諡忠靖。著有回銮事实、贡举勒令格式。,"万俟卨,岳飞,秦桧,张宪",4
28,于洋，为李全部将，开禧间曾攻克密州，有战功。,"于洋,李全",2
29,于格，字伯永，潼川人。与冯时行为友，同游十五人，访古梅于成都西郊，分韵赋诗。,"于格,冯时行",2
30,于宪，其先诸城人，其父定远，绍兴中为台州判官，徙居台州太平，恕弟。恕以徒步三千里抵岭下，承舅氏张九成之教。及兄归，宪亦不惮远劳，奋然独往，承舅氏之教。后各以所得合为一集，名之曰心传录。,"于宪,张九成",2
31,于兴，为李芾部将。德祐元年，元兵攻潭州，芾命兴帅兵御之，战于湘阴，殁于阵。,"于兴,李芾",2
32,于焘，字彭年，寿光人。博学能文，喜言兵。庆历中，元昊寇边，北人乘衅聚兵求关南地，丞相吕夷简召焘计之，焘曰：宜治西北行宫若亲征者，以压其谋，乃以大名府为北都，二虏果靖。时仁宗春秋高，皇嗣未立，登州岠嵎山数震，焘上疏宜早定储位，以安天下。逮英宗入继，乃由齐邸，人服其先识。,"于焘,吕夷简,仁宗,英宗",4
33,于世封，浦江人，房子。与弟正封皆进士及第，人号双璧。善属文，顷刻数千言，纵横变通，无不如意，自以为所向无敌。及同正封往见欧阳修，修授以为文之道，自惭前傲。于是学益精进。晚乃著易书诗传四十卷。,"于世封,欧阳修",2
34,士建中，字熙道，山东郓州人(郓州后改为东平府)。与孙复、石介同时以学鸣于当世，而为孙石二氏所推重。以进士授评事，宰魏县，官至尚书兵部员外郎。其所著述皆醇儒之言。,"士建中,石介",2
35,上官冲，干兴元年官三班奉职。是年五月初六日与进士周慎同游华岳，刻石以记。,"上官冲,华岳",2
36,上官均，字彦衡，邵武人，凝次子。熙宁三年进士。任北京留守推官，为窦莘明冤，谪知光泽县。哲宗时为御史，遇事敢言，如论罢青苗，裁冗官，劾去蔡确、张璪、李清臣，罢诗赋取士，皆切中时弊。徽宗立，迁给事中，时相欲尽循熙丰法度，为绍述，均议不协。后入党籍夺职。久之，复龙图阁待制致仕，卒年七十八。著有曲礼讲义二卷，奏议十卷，广陵文集五十卷。,"上官均,哲宗,蔡确,张璪,李清臣,徽宗",6
37,上官恢，字闳中，邵武人，均从子。元丰中登进士第。崇宁中累官知深州，改南剑州，移知徽州，专务仁爱，吏民怀服。晚奉祠里居，胡安国以恢与杨时并荐，官至中大夫。,"上官恢,胡安国,杨时",3
38,上官悟，字仲达，邵武人，均季子。建炎中权留守东京，刘豫叛降金，遣人说悟，悟斩其使。及城陷，悟行至唐州，被害。,上官悟,1
39,上官基，字仲立，邵武人，恢曾孙。为衡州推官。赵汝愚谪零陵，道经衡阳卒，时人皆畏韩侂冑，不敢为营办丧事，基独往殡殓。郡守钱鍪上其治行，迁提点铸钱检讨官。,"上官基,赵汝,钱鍪,钱检",4
40,上官愔，字仲雍，一字仲容，邵武人，均次子。政和二年进士。二帝北行，愔上书宰相，请迎康王速即大位，西入京师，以图兴复。建炎中，迁吏部员外郎，知南剑州，以刚介著政声，致仕。著有尚书小传，论语孟子略解，及史统，史旨。,上官愔,1
41,上官谧，字安国，邵武人，悟孙。为学务求义理，从朱熹学，益加涵养。任永州推官，为政简易，民甚安之。,"上官谧,安国,朱熹",3
42,卞大亨，字嘉甫，号松隐，泰州人。由乡举入太学，升上舍。靖康中携二子走行在，丞相范宗尹以逸荐，授怀宁簿。未几隐居象山，手植万松于径，行吟其间，自号松隐居士。素习养生，精医卜之书。著有松隐集、尚书类数、改注杜诗、传信方诸书。,"卞大亨,范宗尹,松隐居士",3
43,文元，字宗之，清湘人。尝以其所闻于师友，过靖州就魏了翁是正。及归士谿，了翁作序以送之。,"文元,魏了翁",2
44,文婉，温州乐清人。知书能诗。后适钱氏。,"文婉,钱氏",2
45,文锐，(944～996)，字挺之，汾州介休人，彦博祖父。本姓敬，以犯晋高祖讳，赐改今姓。至宋，以避翼祖庙讳，不复返旧。始以荫补郊社署丞，寻辟石州军推。至道二年卒，年五十三。赠尚书祠部员外郎。,"文锐,晋高祖",2
46,文及甫，又名及，字周翰，汾州介休人，彦博第六子。初为大理评事，迁直史馆，与邢恕同为馆职。进吏部员外郎，除直龙图阁知同州，改卫尉光禄卿。后以集贤修撰出知河阳，召为太仆卿，权工部侍郎，罢为集贤修撰，提举明道宫。坐元祐党落职。久之，复直龙图阁知陕州，又落职。复集贤修撰卒。,"文及甫,周翰,邢恕",3
47,文彦博，(1006～1097)，字宽夫，汾州介休人，洎子。天圣五年进士。累官同中书门下平章事，封潞国公。熙宁中为王安石所恶，力引去，拜司空，河东节度使，寻以太师致仕，居洛阳。元祐初，命平章军国重事，居五年复致仕。绍圣四年卒，年九十二，諡忠烈。彦博逮事四朝，任将相五十年，名闻四夷。平居接物谦下，尊德乐善，如恐不及。在洛尝与富弼、司马光等十三人物洛阳耆英会，为一时盛。有潞公集。,"文彦博,平章,王安石,富弼,司马光",5
48,文复之，字廷实，合州人。第宝庆二年进士，累官至湖北提刑。以起居舍人召，每切齿丁大全所为，与人言，我见上，必极言其奸邪，大全觉之，止不得见。乞祠禄，授朝散大夫，主管成都府玉局观。以经史自娱终其身。,丁大全,1
49,文道南，庐江舒人。素与姚铉友善。凌策幼时尝往学焉。晚年司教泾邑，遂居于泾。,"文道南,姚铉,凌策",3
50,文应麟，庐陵人，文天祥从孙。倜傥尚志节。景定中文璧守惠州，应麟与之偕，屡劝修城积粮严守备，璧易其言，元兵至，竟以城降。应麟耻之，携二子遯于东莞之东渚，遂家焉。其后子孙日蕃，为名族。,"应麟,文天祥",2
51,方壬，(1147～1196)，字若水，莆田人，耒弟。淳熙十四年进士，授漳州长泰簿，时朱熹为守，辟壬主学，条上讲说课试等十事。每见民间疾苦，悉为熹言之。庆元二年卒，年五十。,"方壬,朱熹",2
52,方禾，字耕叟，莆田人，耒弟。曾登朱熹之门，熹告以改过修己之方，莫切于论语「弟子入则孝」一章，禾佩服之。,"方禾,朱熹",2
53,方回，(1227～1307)，字万里，一字囦甫，号虚谷，别号紫阳山人，歙县人，琢子。景定三年进士。累官知严州。入元为建德路总管。回初媚贾似道，似道败又先劾之，及守严州，举城迎降于元，不齿清议。卒于元大德十一年，年八十一。著有桐江集四卷补遗一卷、续古今考、瀛奎律髓、文选颜鲍谢诗评、虚古閒抄、桐江续集。,"贾似道,谢诗",2
54,方耒，字耕道，号困斋，莆田人，元寀曾孙。干道二年进士。为善化尉，张栻深喜之，谓世之可与共死生祸福者，耒一人耳。后栻帅荆南，奏耒为属，著廉直声。官终连江令。,"方耒,张栻",2
55,方价，初名俨，字子严，莆田人，慎从孙。熙宁六年进士。大观初知安丰县，用荐召赴都堂审察，蔡京以价不肯私谒，报罢。复知侯官县，寻乞归。里居二十年，终朝奉郎。,"方价,蔡京",2
56,方宙，字子正，莆田人，峤四子。熙宁六年进士。由京东检法召对除司农丞。章惇、蔡确、蔡京交荐之，将处以台阁，宙力请外补，得京西提举常平，奏乞给还程颐旧田，范镇子百揆在谪籍中，皆为论奏。官至转运判官。,"方宙,章惇,蔡确,蔡京,程颐,范镇",6
57,方来，字齐英，永嘉人。从叶适及黄榦学，中开禧元年进士。历左司谏，言事剀切。累握兵部侍郎，知漳州卒。,"方来,叶适,黄榦",3
58,方岳，(1199～1262)，字巨山，号秋崖，歙县人。绍定五年进士。淳祐中为赵葵参议官，移治南康军，以杖舟卒忤荆帅贾似道。后知袁州，又忤丁大全罢归。景定三年卒，年六十四。岳才锋凌厉，诗文不用古律，语或天出，尤工骈体。著重修南北史一百一十卷、宗维训录十卷，又有秋崖小稿行于世。,"方岳,赵葵,贾似道,丁大全,宗维",5
59,方洪，莆田人。累官瑞安守，元兵逼浙东，朝命秀王赵与择共谋防御，城陷，洪及与择被执，均不屈而死。,"方洪,赵与择",2
60,方恬，字元养，一字仲退，号鑑轩，又号师古，歙县人。试礼部第一，教授荆门。周必大、李焘、程大昌交荐，授太平州教官，除太学博士。其学贯穿经史，务为可用。有正论十篇、机策三篇。,"方恬,师古,周必大,李焘,程大昌",5
61,方适，字彦周，莆田人，慎言从孙。元符三年进士。以特奏对策乞复元祐皇后，又上书议时政。崇宁中入元祐党籍。,方适,1
62,方淑，字智善，祥符人。绍兴初举进士，为德清丞，爱其溪山之胜，遂家焉。以持论平正，不附秦桧意罢官。,"方淑,秦桧",2
63,方淙，字伯宗，兴化人。治诗赋，嘉泰二年傅行简榜进士。嘉定十六年官正字，次年除校书郎。宝庆元年添差通判漳州。,"方淙,傅行简",2
64,方通，字叔时，莆田人，慎言孙。熙宁六年以明经登第。历迁亲贤宅博士，出知睦州，以最闻，除王府翊善，坐子轸上书论列蔡京谪官，以朝请大夫老于家。,"方通,蔡京",2
65,方轸，字叔时，一字叔载，或作克载，莆田人，迁居鄞，慎言曾孙。元符进士。授太庙斋郎，上书论蔡京罪，编管岭南，寻放还。政和间复进状，乞收权独断，复编管永州，以恩赦放归。官终鄞县令。,"方轸,蔡京",2
66,方棐，莆田人，应龙子。从王迈游。父卒，请铭于迈曰：求夫子之文，刻墓石以传，则先君为不朽矣。,王迈,1
67,方溥，字成大，饶州乐平人。杨简尝以诚确正直誉之。,"方溥,杨简",2
68,方端，永嘉人，晔父，以文行为欧阳修所器重。,"方端,欧阳修",2
69,方瑑，(1184～1244)，字元圭，歙县人，琢弟。少豪侠不羁。治小戴礼，记问淹贯，精诗粹文，有南渡遗风。尝为学谕。与四明张居卿最厚善。淳祐四年卒，年六十一。,"方瑑,元圭,戴礼,张居卿",4
70,方谊，字宾王，本桐庐人，寓嘉禾，滋子。问学于朱熹，为熹所称。,"方谊,朱熹",2
71,方輗，字叔行，平江人。受业李燔。与饶伯舆友善。安贫乐道，前后数聘皆不赴。参政魏了翁嘉其学行，名其室曰学斋。,"方輗,李燔,饶伯舆,魏了翁",4
72,方泽，字公悦，莆田人。多与黄庭坚唱和。熙宁八年为大理寺丞，旋除江西路提举常平，元符元年入为吏部郎中。,"方泽,黄庭坚",2
73,方导，(1133～1201)，字夷吾，桐庐人，滋子。忠厚孝谨，师承张九成，又从范光远、林之奇游。以恩补官，历平江府通判，沅、黄二州守，官至淮南安抚司参议官。嘉泰元年卒，年六十九。,"方导,张九成,范光,林之奇",4
74,方兴，字义轩，临湘人。宋将亡，与张世杰、文天祥共图恢复。以功加招讨使，死于崖山之难。,"方兴,张世杰,文天祥",3
75,方晔，字仲诰，兴化莆田人，次彭孙。绍兴十二年特科，潮州推官。郑樵称其文高于天下，行高于乡闾。有荆南丛录。,"方晔,彭孙,郑樵",3
76,方暹，字明甫(父)，平江人。师事李燔，燔命学于黄榦，极为榦所称赏，为门下第一。时以饶伯舆、张元简、赵师恕与暹称四子。淳祐中湖南帅董槐、荆南帅孟珙咸称其冰清玉洁，游心高明之域，交章荐之，辞不受，学者称为连云先生。,"方暹,李燔,黄榦,饶伯舆,张元简,赵师恕,董槐,孟珙,高明之,连云先生",10
77,方腊，睦州青溪人。讬左道以惑众。时吴中困于朱勔花石之扰，腊因民不忍，于宣和二年起为乱，自号圣公。聚众至数万，王黼匿报不以闻，势益炽，后为童贯等所擒诛。或云后不知所终。就擒者非腊也。,"方腊,吴中,朱勔,王黼,童贯",5
78,方畴，字耕道，号困斋，弋阳人。建炎二年进士。绍兴改元，上书言四宜忧，十宜行，一宜去。又请择宗室为储贰。官终建康通判。以忤秦桧谪居零陵。有文集。,"方畴,秦桧",2
79,方苹，字仲礼，莆田人，慎言子。嘉祐间以大理寺丞知铅山县事，铅山俗尚鬼，病者听于巫，不事医药，苹力禁之。岁旱祷雨鹅湖，雨立至。官至南康州守。,方苹,1
80,方子容，字南圭，莆田人，峻子。皇祐五年进士。累官守惠州，适苏轼谪惠，日与相倡和。官终朝请大夫。,"方子容,苏轼",2
81,方士宁，字彦昌，莆田人，峻长子。登庆历六年进士。尝为剑浦令，有治绩。蔡襄荐其才，官至都官郎中。,"方士宁,蔡襄",2
82,方士繇，(1148～1199)，字伯谟，一字伯休，号远庵，莆田人，丰之子。从朱熹游，聪明绝人，性谨厚，以讲学授徒为事，尤精于易。庆元五年卒，年五十二。有远庵集。,"方士繇,朱熹",2
83,方元寀，字道辅，莆田人，峻子。元祐六年特科出身。尝与程颐游，书问往复，至数十纸，有曰：足下非混俗之流，其忠道之士。又曰：老夫怕执笔，非吾故人不复作此书。仕终威武军节度推官。,"方元寀,程颐",2
84,方天若，字彦稽，莆田人。绍圣四年进士。授彰信军节度推官，会星变，诏求直言，上书指斥元祐臣僚。以徐铎荐召对，除秘书正字，知枢密事。累迁秘书少监，加右文殿修撰，出知泉州，未行，为言者所攻，遂致仕。天若为蔡京腹心，陷害善类，天下冤之。,"方天若,徐铎,蔡京",3
85,方公衮，字汝补，兴化县人，次彭从弟。登元丰二年进士，擢诸王宫教授。韩琦每称其论事剀切，立己公忠。年未五十而卒。,"方公衮,韩琦",2
86,方仲宇，莆田人，峤次子。少颖悟，从胡瑗学，诸生常千馀人，屡居上列。登治平四年进士，官至著作郎知南安县。,"方仲宇,胡瑗",2
87,方孝能，莆田人。官提举。与郑伯玉、陈琪称为三贤。,"郑伯玉,陈琪",2
88,方伯起，与刘成道、赵唯夫皆朱熹门生。熹得疾，伯起等来问病，熹告以做些坚苦工夫，须牢固著脚力，方有进步处。,"刘成道,赵唯夫,朱熹",3
89,方叔完，初字子固，改字道全，莆田人，峤三子。元丰中知侯官县，民以筑港潴水，害怀安民田，二邑交讼，叔完往按之，曰：「吾为令，岂私吾民耶？」命改筑。时曾巩以文章学术帅郡，于人少与可，叔完独为所信任，檄权节度推官。表荐之，移知祥符县。官至广东运判。,"方叔完,曾巩,文章",3
90,方秉俟，莆田人，秉白从弟。与秉白同时隐居教授。林光朝、方翥等诸名士，皆与之友。,"方秉俟,白同,林光朝,方翥",4
91,方致尧，宁国人。建炎四年戚方寇宁国，致尧伏乡兵于岭隘大破之，贼益兵至，中流矢被执，胁之降，骂曰：我岂从贼者耶？遂死之。,"戚方,寇宁",2
92,方惟深，(1040～1122)，字子通，其先莆田人，父龟年官至屯田郎中，卒葬长洲，因家焉。惟深早通经学，尤工于诗，为乡贡第一。后举进士不第，即弃去，与弟躬耕，孝友清介之风著称东南。崇宁四年诏举遗逸，吴守荐于朝，为兴化军助教。宣和四年卒，年八十三。有诗集十卷。其诗精诣警绝，最为王安石所称赏，谓元白陆皮有不到处。,"方惟深,吴守,王安石",3
93,方逢辰，(1221～1291)，初名梦魁，字君锡，一作圣锡，严州淳安人，镕子。淳祐十年廷对第一，理宗改赐今名。累官兵部侍郎，国史修撰。时宰相郑清之、贾似道擅权，逢辰力诋其非，称疾归。除吏礼二部尚书，俱不拜。授徒讲学，学者称蛟峰先生。卒于元至元二十八年，年七十一。有孝经解、易外传、尚书释传、学庸注释、蛟峰文集。,"方逢辰,理宗,史修,郑清之,贾似道,蛟峰先生",6
94,方慎言，字应之，莆田人。咸平三年进士。知信丰兰谿二县，号称神明。仁宗立，为侍御史，丁谓贬，命慎言籍其家，得士大夫书悉焚之，不以闻。后以朝请大夫知广州，卒赠开府仪同三司。,"方慎言,仁宗,丁谓",3
95,方审权，(1180～1264)，字立之，号听蛙，莆田人，峤玄孙。家积书甚富，环居有田数亩，每歎曰：吾耕读于此，足了一生矣。与刘克庄、王迈相友善。景定五年卒，八十五。著有听蛙集。,"方审权,刘克庄,王迈",3
96,方丰之，字德亨，莆田人，会孙。从吕本中游。仕至监镇。工诗，有诗集。,"方丰之,吕本中",2
97,元勋，元勋(一作勳)，字不伐，河南阳翟人，一作京兆人。自元祐初从黄庭坚游，几二十年，庭坚尝称其父子溷俗而志刚，居今而好古。政和间知宁国县，官终春陵太守。,"元勋,黄庭坚",2
98,元德昭，(890～967)，字明远，其先临川危氏，父仔倡始家馀杭。德昭仕吴越为丞相，赐姓元。后从吴越王钱俶内附，干德五年卒，年七十八。諡贞正。是后其枝衍盛，绛、奉宗皆其裔孙。,"元德昭,钱俶",2
99,尹玉，宁都人。赣州巡检，秩满，从文天祥勤王，至平江，援军皆溃退，玉残军五百独殊死战，手杀数十人，箭集于冑如猬毛，力屈被执死，馀兵无一降者。,"尹玉,文天祥",2
100,尹白，汴人。专工墨花，习花光梅，扶疏缥缈。苏轼尝赋之云：花心起墨晕，春色散毫端。,"尹白,苏轼",2
101,尹材，字处初，河南人，源长子。尝游司马光、邵雍之门。光入相，以遗逸荐为学官，雍所谓洛中三贤之一。元祐四年举献纳科，未久卒。,"尹材,司马光,邵雍",3
102,尹拙，(891～971)，颖州汝阳人。晋天福中与张昭等同修唐史，周显德初又同详定经典释文，宋初以秘书监致仕。性纯谨，博通经史，当时服其该博。开宝四年卒，年八十一。,"尹拙,张昭,周显,释文",4
103,尹焞，(1071～1142)，字彦明，一字德充，河南人，林子。少师事程颐，尝应举，发策有诛元祐诸臣议，焞不对而出，终身不就举。靖康初，用种师道荐，召至，恳辞还山，赐号和靖处士。绍兴初，召为崇政殿说书，兼侍讲，时金人来议和，焞上疏非之，不报，乞致仕。隐寓平江虎丘西庵。绍兴十二年卒，年七十二。諡肃公。有论语解、门人问答、和靖集。,"尹焞,程颐,种师道",3
104,尹节，字守约，河南人。父坐死，得小校张谦者持养数年，归于叔父让。后从兄继伦立功河朔，往依之，补衙内都虞候，年五十六卒。,"尹节,张谦",2
105,尹震，为同庆府教授，绍定四年十一月元兵陷同庆，与知府李冲俱死于难。,"尹震,李冲",2
106,尹谷，字耕叟，号务实，长沙人。性刚直庄厉，登进士第。调常德推官，知崇阳，所至廉正有声。蒙古兵入寇，潭城受围，帅臣李芾礼以为参谋，城将破，乃与妻子诀，召弟岳秀使出以存尹氏祀，纵火自焚。邻家往救，但于烈焰中遥见谷正冠端笏危坐，阖门少长皆死。诸生数百人往哭之，多感激死义者。,"尹谷,李芾",2
107,尹宪，(932～994)，晋阳人。太宗时以供奉官护府州屯兵，与鄜州三族会攻岚州，破敌千馀众，擒伪知州马延忠。拔缘河诸砦，入朔州界，破宁武军，获人马器甲甚众。改护夏州兵，就知夏州，屡有战功。后知定州，淳化五年卒，年六十三。,"尹宪,太宗",2
108,尹机，张浚于苻离败后奏劾机，送彬州编管，淳熙元年知辰州；三年，擢湖北提刑，措置土丁刀弩手。已而摄帅事，约卒于淳熙五年前后。,"尹机,张浚",2
109,尹瞻，温江人。以博通知名，举进土。至和二年通判永州，建学诲士，一日城中火且风，瞻具朝服向火拜之，已而风息火止。后监零陵郡事。,尹瞻,1
110,尹穑，字少稷，兖州人，侨居玉山。高宗时与陆游同为枢密院编修官，孝宗时赐进士出身，累迁谏议大夫。时金人来索地，张浚极言其不可，穑以为宜与敌和。后金人入寇，穑乞取不肯撤备及弃地者劾其罪，为言者所论，因罢去。,"尹穑,高宗,陆游,孝宗,张浚",5
111,尹天民，字先觉，会昌人。为太学博士，出知相如县，时王黼得政，黼旧在太学，乃天民所隶斋生。有强天民谒黼者，天民笑曰：见王丞相岂不得好官，但恐为颜闵所笑。后除侍讲不就，清议高之。,"尹天民,王黼,王丞,颜闵",4
112,尹崇珂，秦州天水人，徙居大名，淑德尹皇后兄。初事周世宗，以谨厚称，累迁为殿前都指挥使。宋初为温州刺史，有善政。干德中征岭表，克广州，擒刘鋹，录功迁保信军节度使。卒年四十二，赠侍中。,"尹崇珂,周世宗,刘鋹",3
113,尹继伦，(947～996)，开封浚仪人。太祖时为殿直，预平岭表，下金陵。太宗即位，充北面缘边都巡检使，端拱中辽兵入寇，继伦奋击，大败之，辽兵相戒曰：当避黑面大王，以继伦面黑故也。累迁灵庆兵马副都部署。至道二年卒，年五十。,"尹继伦,太祖,太宗",3
114,王巳，字君文，西和州人。淳祐元年进士，由淮东制置机宜除京官，时相丁大全忌之，乃弃官返京口寄居，杜门不出者十年。大全罢，复为枢密院编修，以招抚衢州洞酋就领州事，迁兵部员外郎淮西总领，累迁右司郎中。,"王巳,丁大全",2
115,王升，或名昇，字逸老，京师人。草书奇伟，徽宗朝被召入，御书补右爵。南渡后，寓居崇德。召对赐札以书，玉音褒赏，官至正使。,"王升,徽宗",2
116,王介，字中父，衢州常山人。性强记刚直，举嘉祐六年贤良方正能直言极谏科，迁秘书丞知临海县，迁知湖州。累官至秘阁校理。与王安石同学，甚款，然未尝降意相下。,"王介,王安石",2
117,王介，(1158～1213)，字元石，号浑尺居士(敬乡录作浑天)，金华人。从朱熹、吕祖谦游。登绍熙元年进士，除国子录。光宗久不朝重华宫，介上疏极谏。孝宗崩，又力请过宫执丧，言甚激切。宁宗立，以忤韩侂冑坐劾奉祠，后官京西宣抚使。嘉定六年卒，年五十六。諡忠简。,"王介,浑尺居士,金华,朱熹,吕祖谦,光宗,孝宗,宁宗",8
118,王永，珪曾祖，华阳人。为右补阙，吴越纳土，永受命往均赋，至则悉除无名之算。或言其多弛赋租，太宗诘之，对曰：使新附民蒙天子仁恩，臣虽得罪死不恨。太宗大悦。,"王永,太宗",2
119,王古，字敏仲(一作中)，莘县人，靖子。第进士，绍圣初累迁户部侍郎，详定役法，与尚书蔡京多不合，徙兵部，后知成都。入崇宁党籍，谪衡州别驾，安置温州，复朝散郎，寻卒。,"王古,蔡京",2
120,王札，临江人，采弟。官武昌倅，转知景陵，时襄阳失守，札竭力守城，以恃无恐。,王札,1
